year,course_cluster,employed,ft_employment,gross median salary
2017,"Arts, Design & Media",91.40%,65.60%,"$2,944"
2017,"Built Environment",92.70%,86.50%,"$3,200"
2017,"Business",95.40%,89.50%,"$3,200"
2017,"Dentistry",100%,100.00%,"$4,050"
2017,"Education(NIE)",100%,100.00%,"$3,600"
2017,"Engineering",86.70%,79.50%,"$3,500"
2017,"Health Sciences",96.70%,93.70%,"$3,450"
2017,"Humanities & Social Sciences",85.70%,70.10%,"$3,300"
2017,"Information & Digital Technologies",94.60%,90.10%,"$4,000"
2017,"Music",73.30%,26.70%,"$2,225"
2017,"Sciences",82.60%,65.30%,"$3,250"
2017,"Yale-NUS",93.30%,76.40%,"$3,500"
2017,"Architecture",91.30%,86.40%,"$4,000"
2017,"Biomedical Sciences",92.00%,80.00%,"$2,950"
2017,"Law",96.40%,92.80%,"$5,000"
2017,"Medicine",100.00%,100.00%,"$5,000"
2017,"Pharmacy",99.10%,94.50%,"$3,600"
2018,"Arts, Design & Media",89.10%,68.30%,"$3,000"
2018,"Built Environment",91.60%,85.90%,"$3,400"
2018,"Business",94.40%,89.10%,"$3,400"
2018,"Dentistry",100.00%,100.00%,"$4,050"
2018,"Education(NIE)",100.00%,99.40%,"$3,800"
2018,"Engineering",89.90%,83.80%,"$3,600"
2018,"Health Sciences",96.70%,89.40%,"$3,450"
2018,"Humanities & Social Sciences",87.30%,72.10%,"$3,400"
2018,"Information & Digital Technologies",95.00%,92.00%,"$4,022"
2018,"Music",81.00%,23.80%,"$1,800"
2018,"Sciences",84.40%,68.80%,"$3,313"
2018,"Yale-NUS",90.40%,80.70%,"$3,700"
2018,"Architecture",96.20%,92.40%,"$4,000"
2018,"Biomedical Sciences",90.90%,81.80%,"$3,000"
2018,"Law",95.30%,91.80%,"$5,000"
2018,"Medicine",NA,NA,NA
2018,"Pharmacy",96.60%,93.20%,"$3,650"
2019,"Arts, Design & Media",87.30%,62.40%,"$3,200"
2019,"Built Environment",92.60%,87.30%,"$3,500"
2019,"Business",94.60%,88.80%,"$3,500"
2019,"Dentistry",100%,97.30%,"$4,200"
2019,"Education(NIE)",100%,100.00%,"$3,800"
2019,"Engineering",88.40%,83.30%,"$3,750"
2019,"Health Sciences",97.10%,88.40%,"$3,500"
2019,"Humanities & Social Sciences",88.00%,74.50%,"$3,500"
2019,"Information & Digital Technologies",95.40%,92.70%,"$4,400"
2019,"Music",82.60%,39.10%,"$3,500"
2019,"Sciences",86.90%,71.50%,"$3,500"
2019,"Yale-NUS",95.80%,79.00%,"$3,800"
2019,"Architecture",100.00%,96.00%,"$4,100"
2019,"Biomedical Sciences",95.20%,85.70%,"$3,000"
2019,"Law",97.00%,95.00%,"$5,000"
2019,"Medicine",99.60%,99.60%,"$5,300"
2019,"Pharmacy",100%,95.50%,"$3,750"
